,Unnamed: 0,anime_id,title,type,source,episodes,airing,rating,score,rank,watched_by,members,favorites,producer,licensor,studio,genre,duration_min,aired_start,aired_end
2559,2559,30711,Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e,Movie,Original,1,False,R+ - Mild Nudity,7.26,2554.0,1770,40332,69,"Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Funimation,Sunrise,"Action, Mecha, Military",59,2016-02-06,2016-02-06
2560,2560,4715,Shigofumi: Sorekara,Special,Original,1,False,PG-13 - Teens 13 or older,7.43,1909.0,3287,13102,5,"Bandai Visual, Genco, Lantis, Rakuonsha",Sentai Filmworks,J.C.Staff,"Psychological, Drama, Thriller, Fantasy",24,2008-09-26,2008-09-26
2561,2561,1536,Busou Renkin,TV,Manga,26,False,PG-13 - Teens 13 or older,7.46,1756.0,666,125538,812,"Geneon Universal Entertainment, Yomiko Advertising, Shueisha",Viz Media,Xebec,"Action, Fantasy, Supernatural, Comedy, School, Shounen",24,2006-10-05,2007-03-29
2562,2562,35338,Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,Special,Light novel,1,False,PG-13 - Teens 13 or older,7.37,2159.0,1724,42256,32,Aniplex,,A-1 Pictures,"Harem, Comedy, Romance, Ecchi, School",22,2017-04-06,2017-04-06
2563,2563,1025,Kachou Ouji,TV,Original,13,False,R - 17+ (violence & profanity),7.1,3209.0,2695,19679,83,Pioneer LDC,Geneon Entertainment USA,"AIC, APPP","Sci-Fi, Adventure, Music, Slice of Life, Space, Comedy",25,1999-07-08,1999-10-07
2564,2564,33036,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,Movie,Music,1,False,PG-13 - Teens 13 or older,7.21,2791.0,1884,36560,108,"Aniplex, Dentsu, Kadokawa Shoten, Movic, Fuji TV, Milestone Music Publishing, Lawson, Music Ray&#039;n",,Qualia Animation,"Comedy, Drama, Romance, School",63,2016-12-17,2016-12-17
2565,2565,18119,Servant x Service,TV,4-koma manga,13,False,PG-13 - Teens 13 or older,7.77,952.0,760,114103,471,"Aniplex, Half H.P Studio, Asahi Broadcasting",Aniplex of America,A-1 Pictures,"Comedy, Slice of Life",23,2013-07-05,2013-09-27
2566,2566,87,Mobile Suit Gundam: Char&#039;s Counterattack,Movie,Novel,1,False,PG-13 - Teens 13 or older,7.77,948.0,2406,24158,191,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,"Sunrise, Studio Hibari","Military, Sci-Fi, Space, Drama, Mecha",119,1988-03-12,1988-03-12
2567,2567,3366,Persona: Trinity Soul,TV,Original,26,False,PG-13 - Teens 13 or older,6.7,4773.0,1397,57361,161,Aniplex,"NIS America, Inc.",A-1 Pictures,"Action, Sci-Fi, Super Power",23,2008-01-05,2008-06-28
2568,2568,5734,Tayutama: Kiss on My Deity,TV,Visual novel,12,False,PG-13 - Teens 13 or older,6.88,4013.0,1523,50704,101,"Media Factory, Delfi Sound",Sentai Filmworks,Silver Link.,"Harem, Romance, Supernatural",23,2009-04-06,2009-06-22
2569,2569,9941,Tiger & Bunny,TV,Original,25,False,PG-13 - Teens 13 or older,8.06,480.0,605,137864,2454,"Bandai Visual, Mainichi Broadcasting System, Tohokushinsha Film Corporation",Viz Media,Sunrise,"Action, Mystery, Comedy, Super Power",24,2011-04-03,2011-09-18
2570,2570,907,Princess Princess,TV,Manga,12,False,PG-13 - Teens 13 or older,7.13,3094.0,1633,45387,248,TV Asahi,Media Blasters,Studio Deen,"Comedy, School, Shoujo",24,2006-04-05,2006-06-21
2571,2571,19163,Date A Live II,TV,Light novel,10,False,R - 17+ (violence & profanity),7.45,1797.0,252,270405,1571,"Kadokawa Shoten, AT-X, Nippon Columbia",Funimation,Production IMS,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",24,2014-04-12,2014-06-14
2572,2572,6324,Omamori Himari,TV,Manga,12,False,R+ - Mild Nudity,7.11,3179.0,525,153365,613,"Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo",Funimation,Zexcs,"Action, Comedy, Demons, Ecchi, Harem, Romance, Supernatural",24,2010-01-07,2010-03-25
2573,2573,34658,Nekopara,OVA,Visual novel,1,False,PG-13 - Teens 13 or older,7.16,2973.0,1924,35364,264,,,Felix Film,"Comedy, Romance",58,2017-12-22,2017-12-22
2574,2574,1887,Lucky☆Star,TV,4-koma manga,24,False,PG-13 - Teens 13 or older,7.83,830.0,135,379458,9386,"Lantis, Rakuonsha, Lucky Paradise","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,"Slice of Life, Comedy, Parody, School",24,2007-04-08,2007-09-17
2575,2575,2942,Sketchbook: Full Color&#039;s,TV,4-koma manga,13,False,G - All Ages,7.44,1868.0,2660,20278,151,"Media Factory, Shochiku, AT-X, TV Tokyo Music, TYO, Mag Garden",Nozomi Entertainment,Hal Film Maker,"Slice of Life, Comedy",23,2007-10-02,2007-12-25
2576,2576,10119,Seitokai Yakuindomo OVA,OVA,4-koma manga,8,False,R - 17+ (violence & profanity),7.87,767.0,1042,79675,93,Starchild Records,,GoHands,"Comedy, School, Shounen, Slice of Life",26,2011-04-15,2013-10-17
2577,2577,1138,Medarot,TV,Game,52,False,PG - Children,7.12,3127.0,1877,36750,174,"TV Tokyo, Nihon Ad Systems, Nelvana",ADV Films,Bee Train,"Adventure, Comedy, Sci-Fi, Shounen",24,1999-07-02,2000-06-30
2578,2578,21273,Gochuumon wa Usagi desu ka?,TV,4-koma manga,12,False,PG-13 - Teens 13 or older,7.59,1377.0,693,122449,1382,"Frontier Works, Sotsu, Magic Capsule, Showgate, Houbunsha, NBCUniversal Entertainment Japan, RAY",Sentai Filmworks,White Fox,"Slice of Life, Comedy",23,2014-04-10,2014-06-26
2579,2579,7559,Fate/stay night TV Reproduction,OVA,Visual novel,2,False,PG-13 - Teens 13 or older,7.0,3564.0,2213,27798,44,,,Studio Deen,"Action, Supernatural, Magic, Romance, Fantasy, Shounen",60,2010-01-17,2010-01-17
2580,2580,856,Utawarerumono,TV,Visual novel,26,False,R - 17+ (violence & profanity),7.74,1026.0,770,111873,1014,"Lantis, Half H.P Studio, AQUAPLUS","ADV Films, Funimation",OLM,"Action, Sci-Fi, Drama, Fantasy",23,2006-04-04,2006-09-26
2581,2581,2369,Rental Magica,TV,Light novel,24,False,PG-13 - Teens 13 or older,7.14,3053.0,1620,45879,108,"Kadokawa Shoten, NTT Docomo",Nozomi Entertainment,Zexcs,"Mystery, Supernatural, Fantasy",24,2007-10-08,2008-03-24
2582,2582,35110,Haikyuu!! Movie 3: Sainou to Sense,Movie,Manga,1,False,PG-13 - Teens 13 or older,8.03,529.0,3595,10585,15,,,Production I.G,"Comedy, Drama, School, Shounen, Sports",89,2017-09-15,2017-09-15
2583,2583,10893,Kyousou Giga,ONA,Original,1,False,PG-13 - Teens 13 or older,6.97,3682.0,1932,35027,72,,,Toei Animation,"Action, Fantasy, Supernatural",25,2011-12-01,2011-12-01
2584,2584,10408,Hotarubi no Mori e,Movie,Manga,1,False,G - All Ages,8.55,84.0,196,312545,5582,Aniplex,,Brain&#039;s Base,"Drama, Romance, Shoujo, Supernatural",45,2011-09-17,2011-09-17
2585,2585,6234,True Tears Specials,Special,Original,7,False,G - All Ages,6.39,6055.0,3962,8358,3,"Bandai Visual, Lantis",,P.A. Works,"Parody, Comedy, School",0,2008-03-25,2008-09-26
2586,2586,18753,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,Light novel,1,False,PG-13 - Teens 13 or older,7.63,1286.0,766,112808,244,,,Brain&#039;s Base,"Comedy, Romance, School",23,2013-09-19,2013-09-19
2587,2587,2548,Ai no Wakakusa Monogatari,TV,Novel,48,False,G - All Ages,7.61,1318.0,5130,4414,26,,Saban Entertainment,Nippon Animation,"Drama, Historical, Slice of Life",24,1987-01-11,1987-12-27
2588,2588,528,Pokemon: Mewtwo no Gyakushuu,Movie,Game,1,False,PG - Children,7.66,1205.0,661,126503,234,"TV Tokyo, Shogakukan Productions, Imagica, Studio Jack","4Kids Entertainment, Warner Bros.",OLM,"Action, Adventure, Comedy, Drama, Fantasy, Kids",85,1998-07-18,1998-07-18
2589,2589,19755,Oshiri Kajiri Mushi (TV) 2nd Season,TV,Music,32,False,G - All Ages,5.45,8458.0,9423,529,1,,,Kinema Citrus,"Comedy, Kids",5,2013-09-30,2014-03-27
2590,2590,610,Popotan,TV,Visual novel,12,False,R+ - Mild Nudity,6.4,6006.0,2839,17585,48,Bandai Visual,"Sentai Filmworks, Geneon Entertainment USA",Shaft,"Comedy, Drama, Ecchi, Supernatural",24,2003-03-18,2003-10-03
2591,2591,704,Kanon Kazahana,Special,Visual novel,1,False,G - All Ages,6.84,4150.0,3580,10625,6,,,Toei Animation,"Drama, Romance, Slice of Life, Supernatural",20,2003-05-03,2003-05-03
2592,2592,10897,Boku wa Tomodachi ga Sukunai Episode 0,OVA,Light novel,1,False,PG-13 - Teens 13 or older,6.83,4175.0,1003,84141,50,"Bushiroad, Good Smile Company",,AIC Build,"Slice of Life, Comedy, Romance, School",11,2011-09-22,2011-09-22
2593,2593,3515,Saint Seiya: Meiou Hades Elysion-hen,OVA,Manga,6,False,PG-13 - Teens 13 or older,7.75,1002.0,2402,24226,91,,,Toei Animation,"Action, Fantasy, Shounen, Super Power",25,2008-03-07,2008-08-01
2594,2594,21843,Shingeki no Bahamut: Genesis,TV,Game,12,False,R - 17+ (violence & profanity),7.76,974.0,306,233210,1201,"NBCUniversal Entertainment Japan, Cygames",Funimation,MAPPA,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",24,2014-10-06,2015-12-29
2595,2595,1972,Meitantei Holmes,TV,Novel,26,False,G - All Ages,7.44,1855.0,4737,5403,40,,"Discotek Media, Geneon Entertainment USA","Studio Gallop, TMS Entertainment","Action, Adventure, Mystery, Comedy, Police",25,1984-11-06,1985-05-21
2596,2596,15325,"Dakara Boku wa, H ga Dekinai. Recap",Special,Light novel,1,False,R+ - Mild Nudity,6.59,5244.0,3019,15504,8,"Geneon Universal Entertainment, Sotsu, Lantis",,feel.,"Comedy, Ecchi, Romance, Supernatural",24,2012-08-24,2012-08-24
